CP;INSEE;Nom min;Nom Maj
14520;14172;Commes;COMMES
14270;14173;Condé-sur-Ifs;CONDE-SUR-IFS
14110;14174;Condé-en-Normandie;CONDE-EN-NORMANDIE
14770;14174;Condé-en-Normandie;CONDE-EN-NORMANDIE
14400;14175;Condé-sur-Seulles;CONDE-SUR-SEULLES
14130;14177;Coquainvilliers;COQUAINVILLIERS
14100;14179;Cordebugle;CORDEBUGLE
14700;14180;Cordey;CORDEY
14123;14181;Cormelles-le-Royal;CORMELLES LE ROYAL
14240;14182;Cormolain;CORMOLAIN
14690;14183;Cossesseville;COSSESSEVILLE
14400;14184;Cottun;COTTUN
14130;14514;Pont-l'Évêque;COUDRAY-RABUT
14170;14190;Courcy;COURCY
14470;14191;Courseulles-sur-Mer;COURSEULLES-SUR-MER
14100;14193;Courtonne-la-Meurdrac;COURTONNE-LA-MEURDRAC
14290;14194;Courtonne-les-Deux-Églises;COURTONNE LES DEUX EGLISES
14260;14195;Courvaudon;COURVAUDON
14480;14196;Crépon;CREPON
14440;14197;Cresserons;CRESSERONS
14430;14198;Cresseveuille;CRESSEVEUILLE
14480;14200;Creully sur Seulles;CREULLY SUR SEULLES
14113;14202;Cricquebœuf;CRICQUEBOEUF
14430;14203;Cricqueville-en-Auge;CRICQUEVILLE-EN-AUGE
14450;14204;Cricqueville-en-Bessin;CRICQUEVILLE-EN-BESSIN
14250;14205;Cristot;CRISTOT
14620;14206;Crocy;CROCY
14220;14207;Croisilles;CROISILLES
14400;14209;Crouay;CROUAY
14220;14211;Culey-le-Patry;CULEY-LE-PATRY
14400;14214;Cussy;CUSSY
14840;14215;Cuverville;CUVERVILLE
14620;14216;Damblainville;DAMBLAINVILLE
14430;14218;Danestal;DANESTAL
14800;14220;Deauville;DEAUVILLE
14840;14221;Démouville;DEMOUVILLE
14690;14223;Le Détroit;LE DETROIT
14230;14224;Deux-Jumeaux;DEUX-JUMEAUX
14160;14225;Dives-sur-Mer;DIVES-SUR-MER
14220;14226;Donnay;DONNAY
14430;14227;Douville-en-Auge;DOUVILLE EN AUGE
14440;14228;Douvres-la-Délivrande;DOUVRES-LA-DELIVRANDE
14430;14229;Dozulé;DOZULE
14130;14230;Drubec;DRUBEC
14340;14231;Beaufour-Druval;BEAUFOUR DRUVAL
14250;14232;Ducy-Sainte-Marguerite;DUCY-STE-MARGUERITE
14250;14236;Ellon;ELLON
14630;14237;Émiéville;EMIEVILLE
14800;14238;Englesqueville-en-Auge;ENGLESQUEVILLE-EN-AUGE
14710;14239;Englesqueville-la-Percée;ENGLESQUEVILLE-LA-PERCEE
14170;14240;Épaney;EPANEY
14310;14241;Épinay-sur-Odon;EPINAY-SUR-ODON
14610;14242;Épron;EPRON
14600;14243;Équemauville;EQUEMAUVILLE
14700;14244;Eraines;ERAINES
14270;14245;Ernes;ERNES
14850;14246;Escoville;ESCOVILLE
14220;14248;Espins;ESPINS
14210;14249;Esquay-Notre-Dame;ESQUAY-NOTRE-DAME
14400;14250;Esquay-sur-Seulles;ESQUAY-SUR-SEULLES
14220;14251;Esson;ESSON
14190;14252;Estrées-la-Campagne;ESTREES-LA-CAMPAGNE
14930;14254;Éterville;ETERVILLE
14400;14256;Étréham;ETREHAM
14210;14257;Évrecy;EVRECY
14700;14258;Falaise;FALAISE
14100;14260;Fauguernon;FAUGUERNON
14130;14261;Le Faulq;FAULQ (LE)
14320;14266;Feuguerolles-Bully;FEUGUEROLLES-BULLY
14130;14269;Fierville-les-Parcs;FIERVILLE-LES-PARCS
14100;14270;Firfol;FIRFOL
14123;14271;Fleury-sur-Orne;FLEURY-SUR-ORNE
14710;14272;La Folie;LA FOLIE
14290;14273;La Folletière-Abenon;LA FOLLETIERE ABENON
