CP;INSEE;Nom min;Nom Maj
14210;14713;Montillières-sur-Orne;MONTILLIERES-SUR-ORNE
14490;14714;Le Tronquay;LE TRONQUAY
14360;14715;Trouville-sur-Mer;TROUVILLE-SUR-MER
14490;14716;Trungy;TRUNGY
14190;14719;Urville;URVILLE
14420;14720;Ussy;USSY
14210;14721;Vacognes-Neuilly;VACOGNES NEUILLY
14340;14723;Valsemé;VALSEME
14390;14724;Varaville;VARAVILLE
14350;14726;Valdallière;VALDALLIERE
14410;14726;Valdallière;VALDALLIERE
14400;14728;Vaucelles;VAUCELLES
14800;14731;Vauville;VAUVILLE
14400;14732;Vaux-sur-Aure;VAUX-SUR-AURE
14400;14733;Vaux-sur-Seulles;VAUX-SUR-SEULLES
14250;14734;Vendes;VENDES
14170;14735;Vendeuvre;VENDEUVRE
14700;14737;Versainville;VERSAINVILLE
14790;14738;Verson;VERSON
14114;14739;Ver-sur-Mer;VER-SUR-MER
14290;14740;La Vespière-Friardel;LA VESPIERE-FRIARDEL
14570;14741;Le Vey;LE VEY
14170;14742;Vicques;VICQUES
14430;14743;Victot-Pontfol;VICTOT-PONTFOL
14400;14744;Vienne-en-Bessin;VIENNE-EN-BESSIN
14710;14745;Vierville-sur-Mer;VIERVILLE-SUR-MER
14930;14747;Vieux;VIEUX
14130;14748;Vieux-Bourg;VIEUX BOURG
14700;14751;Vignats;VIGNATS
14310;14752;Villers-Bocage;VILLERS-BOCAGE
14420;14753;Villers-Canivet;VILLERS-CANIVET
14640;14754;Villers-sur-Mer;VILLERS-SUR-MER
14113;14755;Villerville;VILLERVILLE
14570;14756;La Villette;LA VILLETTE
14610;14758;Villons-les-Buissons;VILLONS-LES-BUISSONS
14700;14759;Villy-lez-Falaise;VILLY-LEZ-FALAISE
14310;14760;Villy-Bocage;VILLY-BOCAGE
14370;14761;Vimont;VIMONT
14500;14762;Vire Normandie;VIRE NORMANDIE
14690;14764;Pont-d'Ouilly;PONT-D OUILLY
